ID,Text,From,To,Context
"Waray-ə","ə → u","ə",u,
Waray-*T,"*T → t",*T,t,
"Waray-*D,*Z","{*D,*Z} → r / V_V",*D|*Z,r,V_V
"Waray-*D,*Z,z","{*D,*Z,z} → d",*D|*Z|z,d,
Waray-*j,"*j → r / V_V",*j,r,V_V
Waray-*j_2,"*j → d",*j,d,
Waray-*R,"*R → ɡ",*R,"ɡ",
Waray-r,"r → l / _#",r,l,_#
Waray-*c,"*c → s",*c,s,
Waray-q,"q → ∅",q,"∅",
Waray-iw,"iw → uj",iw,uj,
Proto-Batak-w,"w → ∅ / i_#",w,"∅",i_#
"Proto-Batak-a,e","{a,e} → o / _w#",a|e,o,_w#
Proto-Batak-a,"a → e / _j#",a,e,_j#
"Proto-Batak-ts,ʈ-ɟ͡ʝ,ɖ-lʲ,ɲ-ʔ,x,s,h-ʀ","{ts,ʈ} {ɟ͡ʝ,ɖ} {lʲ,ɲ} {ʔ,x,s,h} ʀ → t d n ∅ r (velar fricative is conjectured; changes → d “unsure”)","ts|ʈ",t,
"Proto-Batak-ts,ʈ-ɟ͡ʝ,ɖ-lʲ,ɲ-ʔ,x,s,h-ʀ","{ts,ʈ} {ɟ͡ʝ,ɖ} {lʲ,ɲ} {ʔ,x,s,h} ʀ → t d n ∅ r (velar fricative is conjectured; changes → d “unsure”)","ɟ͡ʝ|ɖ",d,
"Proto-Batak-ts,ʈ-ɟ͡ʝ,ɖ-lʲ,ɲ-ʔ,x,s,h-ʀ","{ts,ʈ} {ɟ͡ʝ,ɖ} {lʲ,ɲ} {ʔ,x,s,h} ʀ → t d n ∅ r (velar fricative is conjectured; changes → d “unsure”)","lʲ|ɲ",n,
"Proto-Batak-ts,ʈ-ɟ͡ʝ,ɖ-lʲ,ɲ-ʔ,x,s,h-ʀ","{ts,ʈ} {ɟ͡ʝ,ɖ} {lʲ,ɲ} {ʔ,x,s,h} ʀ → t d n ∅ r (velar fricative is conjectured; changes → d “unsure”)","ʔ|x|s|h","∅",
"Proto-Batak-ts,ʈ-ɟ͡ʝ,ɖ-lʲ,ɲ-ʔ,x,s,h-ʀ","{ts,ʈ} {ɟ͡ʝ,ɖ} {lʲ,ɲ} {ʔ,x,s,h} ʀ → t d n ∅ r (velar fricative is conjectured; changes → d “unsure”)","ʀ",r,
Proto-Batak-q,"q → ∅ / #_ (sometimes; “represented by *h in PB”)",q,"∅",#_
Proto-Batak-z,"z → j (fricative changes to approximant)",z,j,
Proto-Chamic-z-j,"z j → j d",z,j,
Proto-Chamic-z-j,"z j → j d",j,d,
Proto-Chamic-wa,"wa → u / #_",wa,u,#_
Proto-Chamic-w,"w → ∅ / #_",w,"∅",#_
Proto-Chamic-R-q,"R q → r h",R,r,
Proto-Chamic-R-q,"R q → r h",q,h,
Proto-Chamic-i-iw-u,"i iw u → ɔj ? ɔw / _#",i,"ɔj",_#
Proto-Chamic-i-iw-u,"i iw u → ɔj ? ɔw / _#",iw,?,_#
Proto-Chamic-i-iw-u,"i iw u → ɔj ? ɔw / _#",u,"ɔw",_#
Proto-Chamic-C1C2,"C1C2 → C2",C1C2,C2,
Proto-Chamic-C+-voice,"C[+ voice] → C[- voice] / _#","C[+ voice]","C[- voice]",_#
Proto-Chamic-l-n,"l n → r l / #_ (sporadic)",l,r,#_
Proto-Chamic-l-n,"l n → r l / #_ (sporadic)",n,l,#_
Proto-Chamic-d-j,"d j → r ɭ (sporadic)",d,r,
Proto-Chamic-d-j,"d j → r ɭ (sporadic)",j,"ɭ",
Proto-Chamic-a,"a → aː / _C# (sometimes)",a,"aː",_C#
"Chamorro-ə","ə → u","ə",u,
"Chamorro-ə_2","ə → ∅ / VC_CV","ə","∅",VC_CV
Chamorro-V,"V → ∅ / VC_CV (sporadic)",V,"∅",VC_CV
Chamorro-i-u,"i u → e o / _C{C,#}",i,e,_CC|_C#
Chamorro-i-u,"i u → e o / _C{C,#}",u,o,_CC|_C#
Chamorro-i-u_2,"i u → e o / CC# (sporadic)",i,e,
Chamorro-i-u_2,"i u → e o / CC# (sporadic)",u,o,
Chamorro-a,"a → æ “(in some forms; environment and conditioning unclear)”",a,"æ",
Chamorro-uj,"uj → {i,u}",uj,i|u,
Chamorro-iw,"iw → u",iw,u,
Chamorro-p-c-q,"p c q → f s ʔ",p,f,
Chamorro-p-c-q,"p c q → f s ʔ",c,s,
Chamorro-p-c-q,"p c q → f s ʔ",q,"ʔ",
Chamorro-k,"k → ∅ / _# (sporadic)",k,"∅",_#
Chamorro-k_2,"k → h / ! _#",k,h,_#
Chamorro-h,"h → ∅",h,"∅",
Chamorro-V0V0,"V0V0 → V0",V0V0,V0,
Chamorro-b-dz,"b dz → p ts",b,p,
Chamorro-b-dz,"b dz → p ts",dz,ts,
Chamorro-d,"d → ∅ / _#",d,"∅",_#
"Chamorro-ɟ","ɟ → ʔ","ɟ","ʔ",
Chamorro-l,"l → d / _{C,#}",l,d,_C|_#
"Chamorro-ɾ","ɾ → ɡ","ɾ","ɡ",
Chamorro-O,"O → O[-voiced] / _{C,#}",O,O[-voiced],_C|_#
"Chamorro-∅","∅ → j / i_a","∅",j,i_a
"Chamorro-∅_2","∅ → w / u_a","∅",w,u_a
"Chamorro-∅_3","∅ → w / a_u","∅",w,a_u
"Chamorro-∅_4","∅ → w / #_V","∅",w,#_V
Chamorro-j-w,"j w → dz ɡʷ",j,dz,
Chamorro-j-w,"j w → dz ɡʷ",w,"ɡʷ",
"Chamorro-ɡʷ","ɡʷ → ɡ / _V[+round]","ɡʷ","ɡ",_V[+round]
Proto-Malayic-j,"j → t / _#",j,t,_#
Proto-Malayic-j_2,"j → d",j,d,
Proto-Malayic-z,"z → j",z,j,
Proto-Malayic-w,"w → ∅ / #_",w,"∅",#_
Proto-Malayic-R,"R → r",R,r,
Proto-Malayic-h,"h → ʔ / _# (sometimes)",h,"ʔ",_#
Proto-Malayic-h_2,"h → ∅ / else",h,"∅",
"Proto-Malayic-iw,uj","{iw,uj} → i / _#",iw|uj,i,_#
"Proto-Malayic-—-aj-aw","— aj aw → i u / _#",aj,i,_#
"Proto-Malayic-—-aj-aw","— aj aw → i u / _#",aw,u,_#
"Proto-Malayic-—-aj-aw_2","— aj aw → aj aw / _#",aj,aj,_#
"Proto-Malayic-—-aj-aw_2","— aj aw → aj aw / _#",aw,aw,_#
Proto-Malayic-C1C2,"C1C2 → C2",C1C2,C2,
Proto-Malayic-C+-A-POAC+-B-POA,"C[+ A POA]C[+ B POA] → C[+ B POA]C[+ B POA]","C[+ A POA]C[+ B POA]","C[+ B POA]C[+ B POA]",
Proto-Malayic-C+-voice,"C[+ voice] → C[- voice] / _#","C[+ voice]","C[- voice]",_#
Proto-Malayic-H,"H → {∅,h} / _əNS / #_",H,"∅|h","_əNS"
Standard-Malay-V,"V → ə / _(C…)UU#",V,"ə","_UU#|_C…UU#"
"Standard-Malay-ə","ə → a / _(C…)#","ə",a,"_#|_C…#"
Standard-Malay-n,"n → ɲ / “in the environment of i (sporadic)”",n,"ɲ",
Standard-Malay-h,"h → ∅ / ! _# (sporadic)",h,"∅",_#
Proto-Malayo-Javanic-j,"j → l",j,l,
Proto-Malayo-Javanic-q-h,"q h → h ∅",q,h,
Proto-Malayo-Javanic-q-h,"q h → h ∅",h,"∅",
"Proto-Malayo-Javanic-—-aw-aj","— aw aj → əw əj / _#",aw,"əw",_#
"Proto-Malayo-Javanic-—-aw-aj","— aw aj → əw əj / _#",aj,"əj",_#
"Proto-Malayo-Javanic-—-aw-aj_2","— aw aj → aw aj / _#",aw,aw,_#
"Proto-Malayo-Javanic-—-aw-aj_2","— aw aj → aw aj / _#",aj,aj,_#
"Javanese-l,d-z","{l,d} z → r d",l|d,r,
"Javanese-l,d-z","{l,d} z → r d",z,d,
Javanese-b,"b → w / ! adjacent to another consonant",b,w,
"Javanese-ə","ə → u / _h#","ə",u,_h#
Javanese-R,"R → ∅",R,"∅",
Javanese-h,"h → ∅ / #_",h,"∅",#_
Javanese-h_2,"h → {o,h,w} / V_V",h,o|h|w,V_V
Javanese-iw-uj,"iw uj → ju i / _#",iw,ju,_#
Javanese-iw-uj,"iw uj → ju i / _#",uj,i,_#
"Javanese-—-əw-əj","— əw əj → i u / _#","əw",i,_#
"Javanese-—-əw-əj","— əw əj → i u / _#","əj",u,_#
"Javanese-—-aw-aj","— aw aj → e ó / _#",aw,e,_#
"Javanese-—-aw-aj","— aw aj → e ó / _#",aj,"ó",_#
Javanese-C1C2,"C1C2 → C2",C1C2,C2,
"Javanese-HəS","HəS → (h)əNS","HəS","əNS|həNS",
"Madurese-ɭ","ɭ → lʔ / _#","ɭ","lʔ",_#
"Madurese-ɭ_2","ɭ → l","ɭ",l,
Madurese-z,"z → jʰ",z,"jʰ",
Madurese-b,"b → {w,∅} / #_",b,"w|∅",#_
Madurese-R,"R → ʔ / _#",R,"ʔ",_#
Madurese-R_2,"R → r",R,r,
Madurese-h,"h → ʔ / V0V0",h,"ʔ",
Madurese-h_2,"h → ∅",h,"∅",
"Madurese-p,t,k-b-d-ɡ","{p,t,k} b d ɡ → ʔ p t k / _#",p|t|k,"ʔ",_#
"Madurese-p,t,k-b-d-ɡ","{p,t,k} b d ɡ → ʔ p t k / _#",b,p,_#
"Madurese-p,t,k-b-d-ɡ","{p,t,k} b d ɡ → ʔ p t k / _#",d,t,_#
"Madurese-p,t,k-b-d-ɡ","{p,t,k} b d ɡ → ʔ p t k / _#","ɡ",k,_#
Madurese-ij-uw,"ij uw → uj {uj,ój} / _#",ij,uj,_#
Madurese-ij-uw,"ij uw → uj {uj,ój} / _#",uw,"uj|ój",_#
Madurese-V,"V → Vː / ə(C…?)_",V,"Vː","ə_|əC…?_"
Madurese-C+-voice,"C[+ voice] → C[- voice] / _#","C[+ voice]","C[- voice]",_#
"Madurese-HəS","HəS → (h)əNS / #_","HəS","əNS|həNS",#_
"Sundanese-l,j-z","{l,j} z → r j",l|j,r,
"Sundanese-l,j-z","{l,j} z → r j",z,j,
Sundanese-w,"w → {∅,c} / #_",w,"∅|c",#_
Sundanese-R,"R → {∅,r,j}",R,"∅|r|j",
Sundanese-iw-uj,"iw uj → {ju,i} oj / _#",iw,ju|i,_#
Sundanese-iw-uj,"iw uj → {ju,i} oj / _#",uj,oj,_#
"Sundanese-—-əw-əj","— əw əj → o e / _#","əw",o,_#
"Sundanese-—-əw-əj","— əw əj → o e / _#","əj",e,_#
"Sundanese-—-aw-aj","— aw aj → o aj / _#",aw,o,_#
"Sundanese-—-aw-aj","— aw aj → o aj / _#",aj,aj,_#
Palauan-aj-aw-uj,"aj aw uj → e o i",aj,e,
Palauan-aj-aw-uj,"aj aw uj → e o i",aw,o,
Palauan-aj-aw-uj,"aj aw uj → e o i",uj,i,
"Palauan-∅","∅ → w / u_V","∅",w,u_V
"Palauan-∅_2","∅ → j / i_V","∅",j,i_V
"Palauan-ə","ə → ∅ / #_","ə","∅",#_
"Palauan-∅_3","∅ → ə / C_C “(for certain consonant combinations, which the paper doesn’t specify)”","∅","ə",C_C
Palauan-h,"h → ∅",h,"∅",
"Palauan-ə_2","ə → {e,o} / stressed; “(result of /e/ or /o/ unpredictable)”","ə",e|o,
Palauan-p,"p → w",p,w,
Palauan-wa,"wa → o / #_ when unstressed",wa,o,#_
Palauan-V,"V → ə / unstressed",V,"ə",
"Palauan-aw,əw","{aw,əw} → o / _#","aw|əw",o,_#
"Palauan-wə","wə → u / #_","wə",u,#_
Palauan-j-l,"j l → r j",j,r,
Palauan-j-l,"j l → r j",l,j,
"Palauan-ə_3","ə → ∅ / _j","ə","∅",_j
Palauan-j,"j → ∅ / C_i",j,"∅",C_i
"Palauan-ə_4","ə → ∅ / _#","ə","∅",_#
"Palauan-ə_5","ə → ∅ “(sporadic)”","ə","∅",
Palauan-t,"t → ð / ! adjacent to S",t,"ð",
Palauan-s,"s → t",s,t,
"Palauan-ʀ","ʀ → r / _C[+dental]","ʀ",r,_C[+dental]
"Palauan-ʀ_2","ʀ → s","ʀ",s,
Palauan-d,"d → r",d,r,
"Palauan-ɖ","ɖ → ɽ “(only one example)”","ɖ","ɽ",
"Palauan-ɲ","ɲ → n (except possibly to n when #_)","ɲ",n,
Palauan-n-dz,"n dz → l r",n,l,
Palauan-n-dz,"n dz → l r",dz,r,
Palauan-rl,"rl → lː",rl,"lː",
"Palauan-ɟ","ɟ → k / _C#","ɟ",k,_C#
"Palauan-ɟ_2","ɟ → s","ɟ",s,
"Palauan-ŋ","ŋ → ∅ / C_#","ŋ","∅",C_#
Palauan-t_2,"t → {s,ð} / “unpredictably, to eliminate sV(C)t and tV(C)s sequences”",t,"s|ð",
"Palauan-∅_4","∅ → ŋ / #_V","∅","ŋ",#_V
Palauan-q,"q → χ (→ ʕ)",q,"χ",
Palauan-q,"q → χ (→ ʕ)","χ","ʕ",
Proto-North-Sarawak-q,"q → ʔ",q,"ʔ",
"Proto-North-Sarawak-ʔ,h","{ʔ,h} → ∅ / #_","ʔ|h","∅",#_
"Proto-North-Sarawak-ʔ,h_2","{ʔ,h} → ∅ / V1[+high]_V2","ʔ|h","∅",V1[+high]_V2
Proto-North-Sarawak-h,"h → ∅ / _#",h,"∅",_#
Proto-North-Sarawak-h_2,"h → ʔ / V0_V0",h,"ʔ",V0_V0
Proto-North-Sarawak-h_3,"h → ʔ / a_{i,u}",h,"ʔ",a_i|a_u
"Proto-North-Sarawak-ə","ə → ∅ / adjacent to a vowel","ə","∅",
Proto-North-Sarawak-a,"a → ə / _UU(U…)#",a,"ə","_UU#|_UUU…#"
"Proto-North-Sarawak-ə_2","ə → ∅ / _V","ə","∅",_V
"Proto-North-Sarawak-ə_3","ə → ∅ VC_CV","ə","∅",
Proto-North-Sarawak-C,"C → Cː / ə_V (?)",C,"Cː","ə_V"
"Proto-North-Sarawak-ɟː","ɟ(ː) → d(ː)","ɟ|ɟː","d|dː",
"Proto-North-Sarawak-bː-dː-dzː-ɡː","bː dː dzː ɡː → bʱ dʱ dzʱ ɡʱ (Whimemsz says these become “voiced stops with voiceless releases. . .treated as unit phonemes, not clusters)”","bː","bʱ",
"Proto-North-Sarawak-bː-dː-dzː-ɡː","bː dː dzː ɡː → bʱ dʱ dzʱ ɡʱ (Whimemsz says these become “voiced stops with voiceless releases. . .treated as unit phonemes, not clusters)”","dː","dʱ",
"Proto-North-Sarawak-bː-dː-dzː-ɡː","bː dː dzː ɡː → bʱ dʱ dzʱ ɡʱ (Whimemsz says these become “voiced stops with voiceless releases. . .treated as unit phonemes, not clusters)”","dzː","dzʱ",
"Proto-North-Sarawak-bː-dː-dzː-ɡː","bː dː dzː ɡː → bʱ dʱ dzʱ ɡʱ (Whimemsz says these become “voiced stops with voiceless releases. . .treated as unit phonemes, not clusters)”","ɡː","ɡʱ",
"Proto-North-Sarawak-ə_4","ə → ∅ / #_UU(U…)# “(i.e., in word-initial position in prepenultimate syllables)","ə","∅","#_UU#|#_UUU…#"
"Proto-North-Sarawak-pː-tː-cː-kː","pː tː cː kː → p t c k","pː",p,
"Proto-North-Sarawak-pː-tː-cː-kː","pː tː cː kː → p t c k","tː",t,
"Proto-North-Sarawak-pː-tː-cː-kː","pː tː cː kː → p t c k","cː",c,
"Proto-North-Sarawak-pː-tː-cː-kː","pː tː cː kː → p t c k","kː",k,
Proto-North-Sarawak-c,"c → s",c,s,
"Kiput-ʔ","ʔ → ∅ / V_V","ʔ","∅",V_V
Kiput-k,"k → ∅ / V_V “(in some forms)”",k,"∅",V_V
Kiput-ai-au,"ai au → ai̯ au̯ / _#",ai,"ai̯",_#
Kiput-ai-au,"ai au → ai̯ au̯ / _#",au,"au̯",_#
"Kiput-ə","ə → a / _ʔ#","ə",a,"_ʔ#"
Kiput-ai-au_2,"ai au → ɛː ɔː / _…#",ai,"ɛː","_…#"
Kiput-ai-au_2,"ai au → ɛː ɔː / _…#",au,"ɔː","_…#"
Kiput-i-u,"i u → əi̯ əu̯ / _#",i,"əi̯",_#
Kiput-i-u,"i u → əi̯ əu̯ / _#",u,"əu̯",_#
"Kiput-∅","∅ → h / a_#","∅",h,a_#
Kiput-s,"s → ∅ / V_V (sporadic)",s,"∅",V_V
Kiput-V0V0,"V0V0 → V0",V0V0,V0,
"Kiput-ə_2","ə → ∅ / adjacent to a vowel","ə","∅",
Kiput-V+stress,"V[+stress] → Vː / _C# ! V = ə and/or C = h “(applies to diphthongal nuclei as well a[s] monophthongs)”",V[+stress],"Vː",_C#
"Kiput-ʀ","ʀ → {l,ɾ} / ! _# (the latter is more common)","ʀ","l|ɾ",_#
Kiput-l,"l → ∅ / ! _# (irregular)",l,"∅",_#
Kiput-u,"u → əw / _V “(also cases of (C)u → w /__V)”",u,"əw",_V
Kiput-i,"i → əj / _V “(also cases of (C)i → j /__V)”",i,"əj",_V
Kiput-w-j,"w j → v ɟ",w,v,
Kiput-w-j,"w j → v ɟ",j,"ɟ",
"Kiput-iu̯","iu̯ → ui̯","iu̯","ui̯",
Kiput-s_2,"s → ∅ / _#",s,"∅",_#
Kiput-i-u_2,"i u → ɛ ɔ / _C# ! _P (sporadic)",i,"ɛ",_C# ! _P
Kiput-i-u_2,"i u → ɛ ɔ / _C# ! _P (sporadic)",u,"ɔ",_C# ! _P
"Kiput-ʀ_2","ʀ → ʔ / _# “(in a handful of forms)”","ʀ","ʔ",_#
"Kiput-ʀ_3","ʀ → ɾ","ʀ","ɾ",
Kiput-a,"a → i / O[+voiced]…_(C)# “(blocked if there was an intervening nasal, and sometimes if there was an intervening voiceless stop or liquid)”",a,i,"O[+voiced]…_#|O[+voiced]…_C#"
Kiput-i-u_3,"i u → əi̯ əu̯ / _(ʔ)#",i,"əi̯","_#|_ʔ#"
Kiput-i-u_3,"i u → əi̯ əu̯ / _(ʔ)#",u,"əu̯","_#|_ʔ#"
"Kiput-əi̯-əu̯","əi̯ əu̯ → ai̯ au̯ / ! O[+voiced] earlier in the word","əi̯","ai̯",
"Kiput-əi̯-əu̯","əi̯ əu̯ → ai̯ au̯ / ! O[+voiced] earlier in the word","əu̯","au̯",
"Kiput-bʱ-dʱ,dzʱ-ɡʱ","bʱ {dʱ,dzʱ} ɡʱ → f s k","bʱ",f,
"Kiput-bʱ-dʱ,dzʱ-ɡʱ","bʱ {dʱ,dzʱ} ɡʱ → f s k","dʱ|dzʱ",s,
"Kiput-bʱ-dʱ,dzʱ-ɡʱ","bʱ {dʱ,dzʱ} ɡʱ → f s k","ɡʱ",k,
Kiput-f,"f → s",f,s,
"Kiput-v-ɡ-ɟ","v ɡ ɟ → f k c / V_V",v,f,V_V
"Kiput-v-ɡ-ɟ","v ɡ ɟ → f k c / V_V","ɡ",k,V_V
"Kiput-v-ɡ-ɟ","v ɡ ɟ → f k c / V_V","ɟ",c,V_V
"Kiput-v-ɟ","v ɟ → f c / #_",v,f,#_
"Kiput-v-ɟ","v ɟ → f c / #_","ɟ",c,#_
"Kiput-i,ɛ-u,ɔ","{i,ɛ} {u,ɔ} → iə̯ uə̯ / _{k,ŋ}# “(and also sporadically before final *t and *n and some other consonants)","i|ɛ","iə̯","_k#|_ŋ#"
"Kiput-i,ɛ-u,ɔ","{i,ɛ} {u,ɔ} → iə̯ uə̯ / _{k,ŋ}# “(and also sporadically before final *t and *n and some other consonants)","u|ɔ","uə̯","_k#|_ŋ#"
"Kiput-k-ŋ","k ŋ → ʔ ∅ / Və̯_#",k,"ʔ","Və̯_#"
"Kiput-k-ŋ","k ŋ → ʔ ∅ / Və̯_#","ŋ","∅","Və̯_#"
"Kiput-ə_3","ə → {ə,a} / _C# “(free variants)”","ə","ə|a",_C#
Kiput-NS-voice,"NS[-voice] → Sː",NS[-voice],"Sː",
Kiput-CV,"(C)V → ∅ / #_C… “(irregular)”",V|CV,"∅","#_C…"
Kiput-n,"n → l / #_",n,l,#_
"Kiput-ə_4","ə → ∅ / #_","ə","∅",#_
"Kiput-l,ɾ","{l,ɾ} → n / _#","l|ɾ",n,_#
Kiput-dz,"dz → d / #_ (though sometimes → {s,ɟ})",dz,d,#_
"Kiput-s,c","{s,c} → t / _V{s,c}V",s|c,t,_VsV|_VcV
Kiput-b-d,"b d → p t / _#",b,p,_#
Kiput-b-d,"b d → p t / _#",d,t,_#
Proto-Kenyah-d,"d → l / #_ (sporadic)",d,l,#_
"Proto-Kenyah-ʀ","ʀ →h / V_V(C)#","ʀ",h,V_V#|V_VC#
"Proto-Kenyah-ʀ_2","ʀ → h / _#","ʀ",h,_#
"Proto-Kenyah-ɻ","ɻ → ∅","ɻ","∅",
Proto-Kenyah-s,"s → h / _#",s,h,_#
Proto-Kenyah-i-u,"i u → e o / _h#",i,e,_h#
Proto-Kenyah-i-u,"i u → e o / _h#",u,o,_h#
Proto-Kenyah-h,"h → ∅ / _#",h,"∅",_#
Proto-Kenyah-S,"S → S[-voice] / _#",S,S[-voice],_#
Proto-Kenyah-l,"l → n / _#",l,n,_#
Proto-Kenyah-s_2,"s → t / _VsVC",s,t,_VsVC
Proto-Kenyah-CV,"CV → ∅ / _NCVC “(in reduplications)”",CV,"∅",_NCVC
"Òma-Lóngh-bʱ-dʱ-dzʱ-ɡʱ","bʱ dʱ dzʱ ɡʱ → p t c k","bʱ",p,
"Òma-Lóngh-bʱ-dʱ-dzʱ-ɡʱ","bʱ dʱ dzʱ ɡʱ → p t c k","dʱ",t,
"Òma-Lóngh-bʱ-dʱ-dzʱ-ɡʱ","bʱ dʱ dzʱ ɡʱ → p t c k","dzʱ",c,
"Òma-Lóngh-bʱ-dʱ-dzʱ-ɡʱ","bʱ dʱ dzʱ ɡʱ → p t c k","ɡʱ",k,
"Òma-Lóngh-i","i → e / _k#",i,e,_k#
"Òma-Lóngh-i_2","i → iə / _ŋ#",i,"iə","_ŋ#"
"Òma-Lóngh-p","p → k / u_#",p,k,u_#
"Òma-Lóngh-u","u → o / _k#",u,o,_k#
"Òma-Lóngh-u_2","u → o / _ŋ# “(sporadically failed to occur)”",u,o,"_ŋ#"
"Òma-Lóngh-u_3","u → ɯ / _(C)# ! _ʔ#",u,"ɯ","_#|_C# ! _ʔ#"
"Òma-Lóngh-a","a → o / _# “(not in all forms)”",a,o,_#
"Òma-Lóngh-ʔ","ʔ → ∅ / _# “(but aʔ → əʔ in some forms)”","ʔ","∅",_#
"Òma-Lóngh-k","k → ʔ / _#",k,"ʔ",_#
"Òma-Lóngh-a_2","a → ɛ / {t,n}_#",a,"ɛ",t_#|n_#
"Òma-Lóngh-p,t-n","{p,t} n → c̚ ɲ / {i,ɛ}_#",p|t,"c̚","i_#|ɛ_#"
"Òma-Lóngh-p,t-n","{p,t} n → c̚ ɲ / {i,ɛ}_#",n,"ɲ","i_#|ɛ_#"
"Òma-Lóngh-m","m → ɲ / i_#",m,"ɲ",i_#
"Òma-Lóngh-ai̯-au̯","ai̯ au̯ → ɛ ɔ","ai̯","ɛ",
"Òma-Lóngh-ai̯-au̯","ai̯ au̯ → ɛ ɔ","au̯","ɔ",
"Òma-Lóngh-ui̯,iu̯","{ui̯,iu̯} → e","ui̯|iu̯",e,
"Òma-Lóngh-i-u","i u → e o / _CV[+close-mid](C)# “(iə is treated as close mid for this change)”",i,e,_CV[+close-mid]#|_CV[+close-mid]C#
"Òma-Lóngh-i-u","i u → e o / _CV[+close-mid](C)# “(iə is treated as close mid for this change)”",u,o,_CV[+close-mid]#|_CV[+close-mid]C#
"Òma-Lóngh-i-u_2","i u → ɛ ɔ / _CV[+open-mid](C)#",i,"ɛ",_CV[+open-mid]#|_CV[+open-mid]C#
"Òma-Lóngh-i-u_2","i u → ɛ ɔ / _CV[+open-mid](C)#",u,"ɔ",_CV[+open-mid]#|_CV[+open-mid]C#
"Òma-Lóngh-i-u_3","i u → e o / _Cɯ#",i,e,"_Cɯ#"
"Òma-Lóngh-i-u_3","i u → e o / _Cɯ#",u,o,"_Cɯ#"
"Òma-Lóngh-ŋ","ŋ → ŋ̊ / _#","ŋ","ŋ̊",_#
"Òma-Lóngh-p,t-m,n","{p,t} {m,n} → k ŋ / ɯ_#",p|t,k,"ɯ_#"
"Òma-Lóngh-p,t-m,n","{p,t} {m,n} → k ŋ / ɯ_#",m|n,"ŋ","ɯ_#"
"Òma-Lóngh-i-u_4","i u → əj əw / _V(C)#",i,"əj",_V#|_VC#
"Òma-Lóngh-i-u_4","i u → əj əw / _V(C)#",u,"əw",_V#|_VC#
"Òma-Lóngh-j-w","j w → z v",j,z,
"Òma-Lóngh-j-w","j w → z v",w,v,
"Òma-Lóngh-p_2","p → f / #_",p,f,#_
"Òma-Lóngh-ə","ə → ∅ / #_","ə","∅",#_
"Òma-Lóngh-p-k","p k → f ɣ / V_V ! ”ə_V",p,f,"V_V ! ”ə_V"
"Òma-Lóngh-p-k","p k → f ɣ / V_V ! ”ə_V",k,"ɣ","V_V ! ”ə_V"
"Òma-Lóngh-d","d → r / V_V “(irregular)”",d,r,V_V
"Òma-Lóngh-dz","dz → ɟ / V_V",dz,"ɟ",V_V
"Òma-Lóngh-b-d-dz-ɡ","b d dz ɡ → p t c k / N_",b,p,N_
"Òma-Lóngh-b-d-dz-ɡ","b d dz ɡ → p t c k / N_",d,t,N_
"Òma-Lóngh-b-d-dz-ɡ","b d dz ɡ → p t c k / N_",dz,c,N_
"Òma-Lóngh-b-d-dz-ɡ","b d dz ɡ → p t c k / N_","ɡ",k,N_
"Òma-Lóngh-N","N → ∅ / _S “(sporadic)”",N,"∅",_S
"Òma-Lóngh-h","h → ∅ / V_V",h,"∅",V_V
Minangkabau-n,"n → ɲ / “in the environment of i”",n,"ɲ",
Minangkabau-h,"h → ∅ / ! _# (some exceptions)",h,"∅",_#
Minangkabau-a,"a → o / _(C…)#",a,o,"_#|_C…#"
Minangkabau-u-i,"u i → o e (sporadic)",u,o,
Minangkabau-u-i,"u i → o e (sporadic)",i,e,
"Minangkabau-—-ə","— ə → a / _(C…)# (eventually spread to everywhere)","ə",a,"_#|_C…#"
"Minangkabau-—-m-p","— m p → n t / {u,i}_",m,n,u_|i_
"Minangkabau-—-m-p","— m p → n t / {u,i}_",p,t,u_|i_
"Minangkabau-—-a-u","— a u → e uj / _{t,s}#",a,e,_t#|_s#
"Minangkabau-—-a-u","— a u → e uj / _{t,s}#",u,uj,_t#|_s#
"Minangkabau-—-a","— a → o / _p#",a,o,_p#
"Minangkabau-—-u-i","— u i → uə iə / _{k,ŋ,h,l,r}#",u,"uə","_k#|_ŋ#|_h#|_l#|_r#"
"Minangkabau-—-u-i","— u i → uə iə / _{k,ŋ,h,l,r}#",i,"iə","_k#|_ŋ#|_h#|_l#|_r#"
"Minangkabau-—-p,t,k-s","— {p,t,k} s → ʔ h / _#",p|t|k,"ʔ",_#
"Minangkabau-—-p,t,k-s","— {p,t,k} s → ʔ h / _#",s,h,_#
"Minangkabau-—-l,r","— {l,r} → ∅ / _# (retained across morpheme boundaries)",l|r,"∅",_#
Proto-Oceanic-mb,"mb → p",mb,p,
"Proto-Oceanic-nts,ns,nz,nɡʲ-ts,z,ɡʲ","{nts,ns,nz,nɡʲ} {ts,z,ɡʲ} → ɡʲ s","nts|ns|nz|nɡʲ","ɡʲ",
"Proto-Oceanic-nts,ns,nz,nɡʲ-ts,z,ɡʲ","{nts,ns,nz,nɡʲ} {ts,z,ɡʲ} → ɡʲ s","ts|z|ɡʲ",s,
"Proto-Oceanic-ŋk,ŋɡ-ɡ","{ŋk,ŋɡ} ɡ → ɡ k","ŋk|ŋɡ","ɡ",
"Proto-Oceanic-ŋk,ŋɡ-ɡ","{ŋk,ŋɡ} ɡ → ɡ k","ɡ",k,
Proto-Oceanic-d,"d → r",d,r,
"Proto-Oceanic-e-uj,iw","e {uj,iw} → o i",e,o,
"Proto-Oceanic-e-uj,iw","e {uj,iw} → o i",uj|iw,i,
