dz	ʒ
ʃ	s
tʃ	s
dʒ	tʃ
tʃ	ʃ
ɬ	l
f	p
a	e
a	e
q	ʔ
ʕ	h
a	o
ʃ	s
u	i
o	e
e	i
e	i
e	i
e	i
e	i
e	i
o	u
e	i
o	u
e	i
o	u
e	i
o	u
e	i
o	u
a	o
e	i
e	i
x	k
x	k
s	ʃ
tʃ	ts
sx	ʃ
l	d
l	n
d	t
p	b
z	d
ts	ʒ
x	k
x	k
ʒ	tʃ
ʒ	ts
ts	tʃ
sx	tʃ
s	ʃ
h	h
h	h
d	t
b	w
p	f
z	j
z	dʒ
s	ʃ
ts	tʃ
x	k
x	k
s	ʃ
ʒ	ʃ
ts	tʃ
ʒ	tʃ
s	ʃ
ts	tʃ
ɲ	n
h	w
l	d
l	n
d	t
b	w
p	f
z	d
z	ts
x	k
x	h
x	ɡ
ts	s
sx	ʃ
ts	tʃ
ts	s
ɲ	n
h	w
b	w
p	b
z	j
z	dʒ
z	dʒ
s	ʃ
ts	tʃ
x	k
ʒ	ʃ
s	s
ts	s
ʒ	s
ts	ʃ
s	ʃ
s	ʃ
s	s
s	tʃ
h	w
l	d
l	n
d	t
b	w
p	f
x	k
x	k
s	ʃ
s	ʃ
ɲ	n
l	n
d	t
b	w
p	f
p	b
z	d
x	k
x	k
tʃ	ʔj
ʒ	s
ts	s
sx	ʃ
ɲ	n
h	w
l	n
d	t
r	r
r	l
b	w
p	ʔp
z	ts
ts	s
x	k
x	h
x	ɡ
x	ɡ
s	ʃ
s	ʃ
s	tʃ
ts	tʃ
ts	s
ɲ	n
l	n
p	b
p	p
z	d
z	z
x	ɡ
x	ɡ
k	q
tʃ	ts
s	ʃ
s	z
s	tʃ
p	f
z	d
z	z
k	ɡ
tʃ	ts
ts	ʃ
s	ʃ
s	tʃ
s	tʃ
tʃ	ts
dʒ	dz
b	m
ɡ	k
ɣ	ɡ
z	ɡ
dz	z
dz	dz
ɡ	ɡ
ɡ	ɡ
x	ɣ
x	ɣ
x	ɣ
x	ɣ
ɢ	ɣ
ɢ	ɣ
ɢ	ɣ
ɢ	ɣ
k	ɣ
k	q
k	ɣ
ɢ	x
ɢ	x
ts	ʃ
tʃ	ʃ
z	d
dz	dʒ
t	r
x	w
ɢ	ɣ
ts	ʃ
tʃ	ʃ
dz	dʒ
t	j
k	χ
k	χ
x	w
ɢ	w
ts	s
dz	z
k	k
k	q
k	k
k	q
k	χ
k	q
k	q
e	i
o	u
e	a
o	a
i	ə
u	ə
in	ŋ
ħ	h
ʕ	ʔ
ts	s
dz	z
t	s
ts	s
tʃ	ʃ
h	ħ
z	d
ɲ	n
ŋw	n
ə	i
h	ħ
ɬ	s
ʃ	s
ts	s
z	s
dz	z
tʃ	ts
t	ts
tʃ	ts
f	p
p	b
xw	ɣw
ɣw	ħ
k	ɡ
ʕ	ħʔ
ɡw	ʕ
q	ʕ
k	tʃ
kw	tʃ
ɡ	dʒ
ɡw	dʒ
x	k
q	i
ʕ	i
qu	w
ʔ	ʕ
h	ʕ
ħ	ʕ
q	ʕ
q	ʔ
h	ʔ
ħ	ʔ
q	ʔ
qh	ʕħ
ɣ	ʕ
tl	dl
r	l
r	ʔ
l	j
l	r
l	n
n	l
n	l
n	l
n	l
n	l
n	l
r	l
r	l
q	ʕ
i	ə
u	ə
tl	ɬ
ɣ	ɡ
ɣ	ɡ
ɣw	ɡ
k	k
k	k
w	k
ʔ	ʕ
p	f
θ	ð
k	q
ɡ	dʒ
s	ʃ
s	h
ʃ	s
ɬ	ʃ
ɬ	dɬ
dɬ	d
m	n
j	a
w	a
q	k
s	f
f	p
θ	t
k	c
x	ç
lj	j
nj	j
j	c
nx	x
ð	ð
d	ð
t	s
s	t
h	x
dʒ	z
ɣ	ʕ
ħ	x
w	v
w	v
u	o
i	e
u	o
i	e
i	a
i	a
u	o
u	o
a	e
a	u
a	o
a	u
a	o
a	e
ʔ	e
θ	t
ð	d
θ	s
ð	z
d	z
dʒ	ɡ
i	e
u	o
u	o
u	u
aj	e
aw	o
a	ɑ
a	ɑ
a	ɑ
a	ɑ
a	æ
a	æ
q	ʔ
sʃ	ʃ
ʒʃ	ʃ
s	ʃ
ʃ	ʃ
ʒʃ	ʃ
zʃ	ʃ
ʒʃ	ʃ
z	ʃ
ʃ	ʃ
ʒʃ	ʃ
ʕ	ʕ̞
ʕ	ħ
θ	t
ð	d
ð	d
q	ɡ
a	e
a	æ
θ	t
ð	d
ð	d
d	ð
q	ɡ
a	e
a	æ
d	ð
q	ɡ
f	v
θ	z̪
x	χ
ɣ	ʁ
ʁ	q
ɣ	ʁ
ɣ	q
aj	e
aj	e
aw	o
aw	o
j	i
w	u
j	i
w	u
k	tʃ
q	ɡ
q	q
ɡ	j
ʕ	ʔ
aj	e
aw	o
d	ð
dʒ	ʒ
q	ɡ
aj	e
aj	e
aj	ej
aw	o
aw	o
aw	ow
q	ɡ
dʒ	ʒ
θ	t
ð	d
ð	d
aj	e
aw	o
t	t͜s
a	ə
i	ə
u	ə
ə	a
ə	ɐ
ə	ɪ
u	ʊ
a	ɑ
i	e
u	o
a	æ
q	q
q	ɡ
dʒ	d
dʒ	ɡ
dʒ	ʒ
s	ʃ
z	ʒ
q	ɡ
x	χ
ɣ	ʁ
dʒ	ɡ
q	ɢ
u	ɵ
u	ɵ
u	ɵ
u	ɵ
u	o
u	o
u	o
u	o
a	ɑ
a	ɛ
d	ð
q	ɡ
q	q
dʒ	ʒ
x	χ
ɣ	ʁ
e	i
o	u
θ	ʃ
θ	ʃ
ð	z
ɬ	s
ɬ	s
x	ħ
ɣ	ʕ
k	q
a	o
i	eə
i	i
i	ə
u	oə
u	u
u	ə
i	e
a	a
a	ɛ
i	e
u	a
i	e
u	o
i	e
aw	a
aw	w
aj	e
aj	ɛ
o	i
o	i
u	i
u	i
o	u
a	ə
a	ə
i	ə
i	ə
u	ə
u	ə
i	a
i	a
i	e
u	ɔ
aj	e
aw	o
p	b
b	v
t	θ
d	ð
k	x
ɡ	ɣ
at	a
e	ɛ
ɛ	ɛ
e	ɛ
ɛ	ɛ
ə	a
ə	ɛ
w	v
θ	t
ð	d
ɣ	ɡ
x	χ
ʕ	ʔ
ħ	χ
q	k
r	ʁ
hl	s
ʔ	h
l	n
l	r
nr	r
a	e
iw	o
θ	n
θ	s
θ	r
ʃ	s
tʃ	ts
xs	s
hs	s
sk	k
ʔs	s
ʔts	ts
a	ɔ̃
e	a
nθ	s
nl	s
nl	hl
ʔ	h
a	ɔ̃
iw	o
θ	n
θ	s
θ	l
ʃ	s
tʃ	ts
nj	i
xs	s
hs	s
ʔs	s
ʔts	ts
sk	k
i	e
e	a
we	o
o	i
o	i
e	i
θ	ʃ
θ	ʃ
s	ʔ
m	ʔ
n	ʔ
r	ʔ
tʃ	ʃ
w	j
w	n
p	k
s	n
s	h
r	n
r	h
tʃ	θ
a	o
a	o
hʔ	ʔh
i	u
i	u
ʃ	x
m	w
ʃ	x
m	w
ʃ	x
m	b
ʃ	s
k	tʃ
m	b
ʃ	s
k	tʃ
m	b
e	ei
o	e
o	e
hʔ	ʔh
i	u
ʃ	θ
θ	t
m	w
ʃ	θ
θ	t
m	b
k	tʃ
ʃ	s
θ	ts
t	ts
m	t
k	b
θ	t
tʃ	t
ʃ	t
r	t
j	s
ʃ	s
tʃ	s
nr	s
h	x
hkw	ʔk
nθ	s
nθ	t
hs	s
m	ʔ
nkw	ʔ
n	x
s	x
ntʃ	ʔt
ns	x
ns	s
sk	x
sk	s
θp	x
θp	s
tʃp	ʔp
ʃp	s
ʃp	p
ʃ	x
x	s
x	s
t	ts
e	i
a	o
e	o
i	o
w	j
ji	i
ja	i
ahi	i
owa	o
awa	o
awe	o
awi	o
awi	oji
i	i
wa	i
e	i
wa	i
aji	i
aje	i
ani	i
a	o
elwi	i
iwi	i
i	i
wi	i
iwi	i
i	i
wi	i
j	s
w	j
i	j
ij	j
j	j
iji	i
on	u
tem	m
ken	n
pen	n
ket	t
t	s
ke	t
keh	t
kes	s
keθ	s
k	s
es	s
keθ	s
we	o
wi	o
a	aa
a	i
